question,correct_answer,wrong_answer
¿Cuál es la capital de Francia?,París,Londres
¿Qué es la fotosíntesis?,El proceso por el cual las plantas producen su alimento,La forma de reproducción de los peces
¿Cuántos continentes hay en el mundo?,Siete,Seis
¿En qué año terminó la Segunda Guerra Mundial?,1945,1939
¿Quién escribió 'Cien años de soledad'?,Gabriel García Márquez,Mario Vargas Llosa
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Marte
¿De qué país es originario el tango?,Argentina,España
¿Qué óxido provoca la corrosión del hierro?,Óxido de hierro,Óxido de zinc
¿Cuál es la fórmula química del agua?,H2O,CO2
¿Qué medicina se utiliza para tratar infecciones bacterianas?,Antibióticos,Antivirales
¿Quién pintó la Mona Lisa?,Leonardo da Vinci,Pablo Picasso
¿Qué lengua se habla en Brasil?,Portugués,Español
¿Cuál es el océano más grande?,Océano Pacífico,Océano Atlántico
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Abraham Lincoln
¿Qué instrumento se utiliza para medir la temperatura?,Termómetro,Barómetro
¿Cuál es la capital de Japón?,Tokio,Pekín
¿Cuántos huesos tiene el cuerpo humano adulto?,206,250
¿Cuál es el elemento químico más abundante en el universo?,Hidrógeno,Helio
¿En qué continente se encuentra Egipto?,África,Asia
¿Quién descubrió la penicilina?,Alexander Fleming,Louis Pasteur
¿Cuál es el país más grande del mundo?,Rusia,Canadá
¿Cuál es la moneda de Japón?,Yen,Won
¿Qué tipo de animal es un delfín?,Mamífero,Pez
¿Quién fue el autor de 'Don Quijote de la Mancha'?,Miguel de Cervantes,Lope de Vega
¿Qué es la gravedad?,La fuerza que atrae los objetos hacia el centro de la Tierra,La fuerza que empuja los objetos hacia arriba
¿Cuál es la capital de Italia?,Roma,Milán
¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,1776,1789
¿Qué continente es conocido como la cuna de la civilización?,Asia,América
¿Qué es un agujero negro?,Una región del espacio con gravedad tan fuerte que nada puede escapar de ella,Un lugar donde se pierde todo el dinero
¿Cuál es la lengua oficial de China?,Mandarín,Cantonés
¿Qué gas respiramos?,Oxígeno,Dióxido de carbono
¿Cuál es la capital de Alemania?,Berlín,Múnich
¿Qué es un volcán?,Una abertura en la superficie de la Tierra por donde sale lava,Una montaña de forma cónica sin lava
¿En qué año se lanzó el primer hombre al espacio?,1961,1957
¿Qué país es famoso por sus canguros?,Australia,Sudáfrica
¿Quién pintó el techo de la Capilla Sixtina?,Miguel Ángel,Raphael
¿Qué se mide en decibelios?,El sonido,La electricidad
